GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Aggregate household income in the past 12 months (in 2012 inflation-adjusted dollars),Margin of Error; Aggregate household income in the past 12 months (in 2012 inflation-adjusted dollars)
8600000US06390,06390,ZCTA5 06390,20220700,9105385
8600000US10001,10001,ZCTA5 10001,1469648900,159859985
8600000US10002,10002,ZCTA5 10002,1873151200,84142354
8600000US10003,10003,ZCTA5 10003,3943712700,262862010
8600000US10004,10004,ZCTA5 10004,349261800,105649780
8600000US10005,10005,ZCTA5 10005,546028200,90778104
8600000US10006,10006,ZCTA5 10006,253011300,47385816
8600000US10007,10007,ZCTA5 10007,952149700,162700031
8600000US10009,10009,ZCTA5 10009,2583244700,185604027
8600000US10010,10010,ZCTA5 10010,2398347800,203225269
8600000US10011,10011,ZCTA5 10011,5764870900,427439968
8600000US10012,10012,ZCTA5 10012,1668183600,122262336
8600000US10013,10013,ZCTA5 10013,1972614300,200539566
8600000US10014,10014,ZCTA5 10014,3138602100,222164351
8600000US10016,10016,ZCTA5 10016,4458872200,244155058
8600000US10017,10017,ZCTA5 10017,1678755000,177227264
8600000US10018,10018,ZCTA5 10018,390305600,51347642
8600000US10019,10019,ZCTA5 10019,3224651400,237011419
8600000US10020,10020,ZCTA5 10020,-,**
8600000US10021,10021,ZCTA5 10021,4746627200,359391461
8600000US10022,10022,ZCTA5 10022,3552985200,287078755
8600000US10023,10023,ZCTA5 10023,5935069800,367219799
8600000US10024,10024,ZCTA5 10024,5854530700,344130232
8600000US10025,10025,ZCTA5 10025,5154988300,292711864
8600000US10026,10026,ZCTA5 10026,950454900,70557797
8600000US10027,10027,ZCTA5 10027,1457248600,85996207
8600000US10028,10028,ZCTA5 10028,4882199800,338177067
8600000US10029,10029,ZCTA5 10029,1696331800,112779000
8600000US10030,10030,ZCTA5 10030,637211600,65908086
8600000US10031,10031,ZCTA5 10031,1196115700,98439988
