GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38
8600000US11764,11764,ZCTA5 11764,4268,165,131167,9032,86.6,4.0,131424,9993,33.4,5.4,13777,5160,23.5,3.7,19212,3174,1.3,1.2,7357,1243,0.6,0.8,12222,7077,19.7,4.2,32733,6312,3514,197,144512,10183,6.4,2.3,68846,18211,29.1,6.0,107290,22972,35.9,5.5,175393,17153,5.9,2.9,134733,23667,17.5,3.7,164686,16172,5.1,3.5,177028,53736,13420,712,42303,3010,92.6,3.3,43994,3033,2.8,2.5,16161,5725,0.2,0.3,N,N,1.5,1.0,45882,26903,0.0,0.2,-,**,0.3,0.4,28167,8958,2.5,1.5,6399,8144,6.3,2.4,24550,12477,88.5,3.8,44567,3165,32.7,(X),(X),(X),35.9,(X),(X),(X),21.6,(X),(X),(X)
8600000US11765,11765,ZCTA5 11765,214,37,388136,149743,82.7,8.4,320829,140499,65.4,11.2,155295,82783,37.4,9.9,22943,3491,1.9,2.5,4550,55,0.0,14.1,-,**,14.0,6.1,33620,11436,161,33,475834,177461,11.8,6.7,N,N,34.8,11.5,N,N,39.8,10.6,N,N,4.3,4.3,N,N,6.8,6.4,N,N,2.5,3.1,N,N,536,99,157708,57190,90.3,4.7,163356,61708,0.0,5.9,-,**,0.0,5.9,-,**,7.8,4.1,127248,61360,0.0,5.9,-,**,1.3,1.8,17571,10064,0.6,1.0,-,**,9.5,6.8,16255,4178,82.1,7.8,178087,67442,30.4,(X),(X),(X),24.2,(X),(X),(X),20.4,(X),(X),(X)
8600000US11766,11766,ZCTA5 11766,3997,180,135965,14422,78.2,3.5,138681,13638,39.4,3.8,16943,5238,35.5,4.1,20522,1360,1.2,0.8,7716,3693,0.4,0.5,3669,3044,26.7,3.8,42979,17026,3319,195,145477,15718,14.8,4.0,65015,14741,29.1,5.8,123643,17032,35.2,5.6,176863,29969,7.4,3.1,136141,29879,12.1,3.1,209566,30115,1.4,1.5,157327,16454,11781,770,46500,4659,90.3,2.6,47996,5225,2.7,2.8,17933,4301,0.0,0.3,-,**,6.3,3.2,41573,6772,0.0,0.3,-,**,0.0,0.3,-,**,0.6,0.6,N,N,5.1,3.4,21548,6843,85.3,4.5,49562,6006,33.9,(X),(X),(X),32.5,(X),(X),(X),24.5,(X),(X),(X)
8600000US11767,11767,ZCTA5 11767,4680,187,115254,6402,85.7,2.5,112230,7521,31.6,5.3,6326,1470,30.3,3.9,20295,1587,0.9,0.7,8086,4583,0.2,0.3,12438,19,25.3,3.7,35332,6122,3616,205,124785,8604,10.8,2.7,68025,17036,26.9,5.1,97811,15647,34.2,4.6,142935,10181,9.6,3.5,109915,21162,13.1,3.6,188773,31817,5.6,3.1,129330,29506,14572,733,38002,2283,95.3,2.4,38006,2312,1.0,1.2,36796,38282,0.0,0.2,-,**,2.8,1.4,35768,10488,0.0,0.2,-,**,0.2,0.4,313,109,0.7,1.1,61621,7579,5.1,2.2,34235,13596,91.1,2.9,38281,2321,31.4,(X),(X),(X),32.0,(X),(X),(X),24.3,(X),(X),(X)
8600000US11768,11768,ZCTA5 11768,7617,208,158316,9240,79.2,2.5,160530,11376,48.7,3.4,25602,6520,32.2,2.5,21348,1146,0.7,0.6,9184,2881,0.8,0.7,3952,2607,23.5,2.8,40931,5429,5991,215,176091,11753,15.4,2.6,93720,20351,23.5,3.8,186548,29449,40.7,4.3,199671,16988,7.6,2.3,173811,65798,10.6,2.5,195388,24844,2.2,1.3,119919,33363,21859,623,55735,3765,94.8,1.6,56749,4025,0.6,0.4,12483,9725,0.2,0.2,51823,41174,3.1,1.5,43851,14212,0.0,0.1,-,**,0.2,0.2,50917,62145,1.1,0.6,25595,17838,2.4,1.1,37239,14512,92.8,1.9,57177,4200,25.2,(X),(X),(X),26.1,(X),(X),(X),17.6,(X),(X),(X)
8600000US11769,11769,ZCTA5 11769,3405,176,108102,9232,74.9,4.4,117956,12809,27.8,4.9,7556,2444,36.5,4.0,20034,1216,3.1,2.2,8698,2177,1.3,1.1,2691,2191,29.0,3.7,26273,4165,2344,178,130415,12484,14.4,4.0,54331,8229,25.5,6.3,116635,26698,36.9,6.9,154271,19021,9.2,4.0,119994,20516,10.7,4.3,196094,43347,3.2,2.2,118391,35703,9022,592,41519,3447,95.1,2.6,42317,3692,0.4,0.3,85465,96719,0.0,0.4,-,**,3.2,2.3,12293,7419,0.0,0.4,-,**,0.4,0.4,54708,50969,0.9,0.8,37916,30784,4.0,2.2,27691,13738,91.5,3.2,43015,3848,34.3,(X),(X),(X),35.1,(X),(X),(X),25.8,(X),(X),(X)
8600000US11770,11770,ZCTA5 11770,85,37,106847,40496,81.2,15.4,96113,36074,34.1,19.6,18931,12252,15.3,9.1,22777,8622,0.0,30.7,-,**,0.0,30.7,-,**,12.9,10.4,130118,129168,55,31,148040,48726,1.8,6.5,N,N,25.5,19.9,N,N,52.7,26.4,N,N,3.6,6.8,N,N,5.5,8.3,N,N,10.9,17.8,N,N,238,128,39184,14539,92.0,11.6,40579,15852,0.0,12.7,-,**,0.0,12.7,-,**,8.0,11.6,23105,5573,0.0,12.7,-,**,0.0,12.7,-,**,0.0,12.7,-,**,0.0,12.7,-,**,92.0,11.6,40579,15852,30.6,(X),(X),(X),38.2,(X),(X),(X),20.0,(X),(X),(X)
8600000US11771,11771,ZCTA5 11771,3435,192,196369,19065,82.1,3.0,179018,17209,48.1,6.3,71119,16939,29.8,4.4,20382,1462,1.2,0.8,9463,6100,0.5,0.6,8088,5553,18.7,4.3,36775,9283,2465,227,243047,24302,10.5,3.0,111643,24330,28.1,5.7,305264,66761,36.8,6.5,246887,45160,4.7,2.2,198442,69544,15.6,5.0,253816,80174,4.3,4.0,132956,85445,9228,683,74326,6989,87.8,3.7,77825,7674,5.3,2.9,22164,7900,0.0,0.4,-,**,3.4,1.3,122769,40871,0.0,0.4,-,**,2.9,1.8,18950,7517,0.6,0.5,13721,16352,6.8,2.5,27148,8455,84.3,3.6,79462,7885,35.3,(X),(X),(X),38.7,(X),(X),(X),29.3,(X),(X),(X)
8600000US11772,11772,ZCTA5 11772,16670,420,75802,3451,77.0,2.4,81937,3826,17.7,2.1,7308,1567,30.0,2.1,16470,881,4.5,1.2,8945,1697,3.2,1.2,3035,826,16.8,1.5,29239,3171,10775,436,89292,4251,11.7,2.1,35599,7090,33.7,3.7,74617,8190,26.5,3.2,112499,7272,11.3,2.6,88395,10513,12.8,2.3,122224,9281,3.9,1.6,113687,25226,44623,1249,28992,1258,86.3,2.2,30562,1428,7.1,1.7,17354,4274,0.0,0.1,-,**,1.3,0.7,23667,8752,0.0,0.1,-,**,4.3,1.3,19577,5103,0.9,0.5,23324,8306,20.0,2.4,17349,2061,71.4,2.7,33492,1650,36.6,(X),(X),(X),36.8,(X),(X),(X),28.5,(X),(X),(X)
8600000US11776,11776,ZCTA5 11776,8124,307,95696,6439,83.6,2.2,94179,6094,26.8,3.2,11611,5593,32.4,3.2,18456,1203,1.7,0.9,8010,3380,0.8,0.7,3460,3430,20.6,2.9,25936,4363,5917,308,111032,8041,8.9,2.3,52216,11188,27.7,3.9,94813,14887,35.6,3.8,134176,17473,10.0,2.9,92968,14471,12.6,3.6,142180,18750,5.1,2.6,98897,19699,24059,1200,33014,2390,86.4,3.3,34613,2749,1.4,1.0,21642,7537,0.6,1.1,N,N,4.4,1.6,27386,7301,0.0,0.1,-,**,5.9,3.2,17176,6683,1.3,0.6,34313,14718,15.4,2.9,18549,3651,78.2,3.2,36264,2954,34.5,(X),(X),(X),35.5,(X),(X),(X),25.9,(X),(X),(X)
