GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
8600000US06390,06390,ZCTA5 06390,-,**
8600000US10001,10001,ZCTA5 10001,1865,167
8600000US10002,10002,ZCTA5 10002,863,30
8600000US10003,10003,ZCTA5 10003,1955,69
8600000US10004,10004,ZCTA5 10004,"2,000+",***
8600000US10005,10005,ZCTA5 10005,"2,000+",***
8600000US10006,10006,ZCTA5 10006,"2,000+",***
8600000US10007,10007,ZCTA5 10007,"2,000+",***
8600000US10009,10009,ZCTA5 10009,1470,57
8600000US10010,10010,ZCTA5 10010,"2,000+",***
8600000US10011,10011,ZCTA5 10011,1933,122
8600000US10012,10012,ZCTA5 10012,1919,116
8600000US10013,10013,ZCTA5 10013,1462,118
8600000US10014,10014,ZCTA5 10014,"2,000+",***
8600000US10016,10016,ZCTA5 10016,"2,000+",***
8600000US10017,10017,ZCTA5 10017,"2,000+",***
8600000US10018,10018,ZCTA5 10018,"2,000+",***
8600000US10019,10019,ZCTA5 10019,"2,000+",***
8600000US10020,10020,ZCTA5 10020,-,**
8600000US10021,10021,ZCTA5 10021,1876,67
8600000US10022,10022,ZCTA5 10022,"2,000+",***
8600000US10023,10023,ZCTA5 10023,"2,000+",***
8600000US10024,10024,ZCTA5 10024,1828,82
8600000US10025,10025,ZCTA5 10025,1438,69
8600000US10026,10026,ZCTA5 10026,944,49
8600000US10027,10027,ZCTA5 10027,978,36
8600000US10028,10028,ZCTA5 10028,"2,000+",***
8600000US10029,10029,ZCTA5 10029,885,32
8600000US10030,10030,ZCTA5 10030,884,47
8600000US10031,10031,ZCTA5 10031,1098,29
8600000US10032,10032,ZCTA5 10032,1091,29
8600000US10033,10033,ZCTA5 10033,1225,34
8600000US10034,10034,ZCTA5 10034,1144,25
8600000US10035,10035,ZCTA5 10035,753,63
8600000US10036,10036,ZCTA5 10036,1853,167
8600000US10037,10037,ZCTA5 10037,995,56
8600000US10038,10038,ZCTA5 10038,1994,322
8600000US10039,10039,ZCTA5 10039,819,46
8600000US10040,10040,ZCTA5 10040,1179,27
8600000US10044,10044,ZCTA5 10044,"2,000+",***
8600000US10065,10065,ZCTA5 10065,"2,000+",***
8600000US10069,10069,ZCTA5 10069,"2,000+",***
8600000US10075,10075,ZCTA5 10075,1965,123
8600000US10103,10103,ZCTA5 10103,-,**
8600000US10110,10110,ZCTA5 10110,-,**
8600000US10111,10111,ZCTA5 10111,-,**
8600000US10112,10112,ZCTA5 10112,-,**
8600000US10115,10115,ZCTA5 10115,-,**
8600000US10119,10119,ZCTA5 10119,-,**
8600000US10128,10128,ZCTA5 10128,1901,55
8600000US10152,10152,ZCTA5 10152,-,**
8600000US10153,10153,ZCTA5 10153,-,**
8600000US10154,10154,ZCTA5 10154,-,**
8600000US10162,10162,ZCTA5 10162,"2,000+",***
8600000US10165,10165,ZCTA5 10165,-,**
8600000US10167,10167,ZCTA5 10167,-,**
8600000US10168,10168,ZCTA5 10168,-,**
8600000US10169,10169,ZCTA5 10169,-,**
8600000US10170,10170,ZCTA5 10170,-,**
8600000US10171,10171,ZCTA5 10171,-,**
8600000US10172,10172,ZCTA5 10172,-,**
8600000US10173,10173,ZCTA5 10173,-,**
8600000US10174,10174,ZCTA5 10174,-,**
8600000US10177,10177,ZCTA5 10177,-,**
8600000US10199,10199,ZCTA5 10199,-,**
8600000US10271,10271,ZCTA5 10271,-,**
8600000US10278,10278,ZCTA5 10278,-,**
8600000US10279,10279,ZCTA5 10279,-,**
8600000US10280,10280,ZCTA5 10280,"2,000+",***
8600000US10282,10282,ZCTA5 10282,"2,000+",***
8600000US10301,10301,ZCTA5 10301,1190,39
8600000US10302,10302,ZCTA5 10302,1157,68
8600000US10303,10303,ZCTA5 10303,920,87
8600000US10304,10304,ZCTA5 10304,1096,93
8600000US10305,10305,ZCTA5 10305,1181,80
8600000US10306,10306,ZCTA5 10306,1200,43
8600000US10307,10307,ZCTA5 10307,1218,90
8600000US10308,10308,ZCTA5 10308,1249,143
8600000US10309,10309,ZCTA5 10309,1240,318
8600000US10310,10310,ZCTA5 10310,1096,75
8600000US10311,10311,ZCTA5 10311,-,**
8600000US10312,10312,ZCTA5 10312,1280,69
8600000US10314,10314,ZCTA5 10314,1195,45
8600000US10451,10451,ZCTA5 10451,916,24
8600000US10452,10452,ZCTA5 10452,1032,17
8600000US10453,10453,ZCTA5 10453,1017,20
8600000US10454,10454,ZCTA5 10454,639,53
8600000US10455,10455,ZCTA5 10455,785,31
8600000US10456,10456,ZCTA5 10456,906,26
8600000US10457,10457,ZCTA5 10457,1050,20
8600000US10458,10458,ZCTA5 10458,1101,14
8600000US10459,10459,ZCTA5 10459,917,25
8600000US10460,10460,ZCTA5 10460,960,28
8600000US10461,10461,ZCTA5 10461,1233,24
8600000US10462,10462,ZCTA5 10462,1190,15
8600000US10463,10463,ZCTA5 10463,1177,24
8600000US10464,10464,ZCTA5 10464,1338,79
8600000US10465,10465,ZCTA5 10465,1237,57
8600000US10466,10466,ZCTA5 10466,1102,27
8600000US10467,10467,ZCTA5 10467,1127,13
8600000US10468,10468,ZCTA5 10468,1129,14
8600000US10469,10469,ZCTA5 10469,1267,44
8600000US10470,10470,ZCTA5 10470,1253,42
8600000US10471,10471,ZCTA5 10471,1401,46
8600000US10472,10472,ZCTA5 10472,1058,24
8600000US10473,10473,ZCTA5 10473,860,38
8600000US10474,10474,ZCTA5 10474,985,40
8600000US10475,10475,ZCTA5 10475,939,30
8600000US10501,10501,ZCTA5 10501,-,**
8600000US10502,10502,ZCTA5 10502,1596,301
8600000US10503,10503,ZCTA5 10503,-,**
8600000US10504,10504,ZCTA5 10504,"2,000+",***
8600000US10505,10505,ZCTA5 10505,942,521
8600000US10506,10506,ZCTA5 10506,1442,369
8600000US10507,10507,ZCTA5 10507,1413,88
8600000US10509,10509,ZCTA5 10509,1318,127
8600000US10510,10510,ZCTA5 10510,1528,509
8600000US10511,10511,ZCTA5 10511,1471,256
8600000US10512,10512,ZCTA5 10512,1144,57
8600000US10514,10514,ZCTA5 10514,"2,000+",***
8600000US10516,10516,ZCTA5 10516,1332,179
8600000US10517,10517,ZCTA5 10517,1741,409
8600000US10518,10518,ZCTA5 10518,1486,505
8600000US10519,10519,ZCTA5 10519,-,**
8600000US10520,10520,ZCTA5 10520,1293,84
8600000US10522,10522,ZCTA5 10522,1597,212
8600000US10523,10523,ZCTA5 10523,1921,183
8600000US10524,10524,ZCTA5 10524,1931,314
8600000US10526,10526,ZCTA5 10526,1235,2199
8600000US10527,10527,ZCTA5 10527,-,**
8600000US10528,10528,ZCTA5 10528,1916,143
8600000US10530,10530,ZCTA5 10530,1657,116
8600000US10532,10532,ZCTA5 10532,1665,597
8600000US10533,10533,ZCTA5 10533,1461,380
8600000US10535,10535,ZCTA5 10535,1458,576
8600000US10536,10536,ZCTA5 10536,1988,579
8600000US10537,10537,ZCTA5 10537,1099,77
8600000US10538,10538,ZCTA5 10538,1598,210
8600000US10541,10541,ZCTA5 10541,1272,122
8600000US10543,10543,ZCTA5 10543,1605,94
8600000US10545,10545,ZCTA5 10545,-,**
8600000US10546,10546,ZCTA5 10546,-,**
8600000US10547,10547,ZCTA5 10547,1277,250
8600000US10548,10548,ZCTA5 10548,1390,229
8600000US10549,10549,ZCTA5 10549,1385,47
8600000US10550,10550,ZCTA5 10550,1160,29
