RegionID,RegionName,City,State,Metro,CountyName,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
270958,Upper West Side,New York,NY,New York,New York,279.5159888888889,308.78025833333334,370.0269166666667,445.27537499999994,537.6405833333334,617.80355,0,0,832.1493900943397,984.9600666666666,1052.444925,1109.1400250000002,1256.6782666666668,1096.9000166666667,1048.9545833333334,1117.7384749999999,1076.8391166666665,1229.2205000000001,1381.5340833333332,1434.018216666667,1472.136842857143
270957,Upper East Side,New York,NY,New York,New York,330.0018666666667,338.60048333333333,379.9327083333333,429.6939166666666,533.8993166666667,591.3231000000001,0,0,756.01559360587,928.3397666666665,1032.8204750000002,1082.6504166666666,1229.0872833333333,1225.2330666666664,1047.3953833333333,1041.7486833333332,994.7137916666666,1100.8910416666665,1210.178341666667,1278.2875000000001,1331.6269285714286
194430,East New York,New York,NY,New York,Kings,0,92.378752886836,0,0,114.794559090909,0,0,168.458781362007,185.04066207233626,241.2439888888889,287.86703,319.6055111111111,277.8420611832612,280.30303030303,282.43961352657,249.191815856778,0,283.10346461538455,279.93696328363,299.109924107143,289.814814814815
198687,Washington Heights,New York,NY,New York,New York,0,0,0,0,0,0,0,0,0,0,0,0,581.395348837209,0,0,0,0,0,0,0,0
272816,Astoria,New York,NY,New York,Queens,0,0,0,0,0,0,0,0,300.324675324675,457.589285714286,420.309347679892,455.197132616487,0,426.62668731343297,487.5964,0,0,514.350398091904,0,0,0
199001,Williamsburg,New York,NY,New York,Kings,0,0,0,0,0,0,0,0,245.22736746298787,416.6281818181818,399.5979,612.9957868131869,710.950189545064,610.6639,601.9636833333332,641.0454666666667,646.6273166666666,731.5789083333334,877.3738916666667,992.0854181818183,1095.4878
272902,Bedford Stuyvesant,New York,NY,New York,Kings,0,0,0,0,0,0,0,0,286.44201634153234,269.25519090909086,365.1752571428571,0,0,0,312.0655824873095,338.18319970344,0,403.4516498633302,479.58793230702514,660.680529300567,0
194737,Flatbush,New York,NY,New York,Kings,0,0,0,0,0,0,0,0,196.55614285714302,270.895283442703,343.544386285762,369.452662721893,0,0,0,0,0,317.028985507246,0,0,0
403222,Crown Heights,New York,NY,New York,Kings,0,0,0,0,0,0,0,0,241.096190337177,238.143562162162,288.39710581395354,0,0,475.530932594644,347.629641424802,436.2954491546807,429.382530120482,347.312267438686,640.4100551344745,0,730.442978322337
25294,Jamaica,New York,NY,New York,Queens,87.024,102.31324977145765,111.07615833333334,118.73312500000003,126.80390833333335,135.85479999999998,0,212.3709709680496,221.75120833333335,271.84495,321.88211666666666,348.5109583333333,335.83836666666673,258.1755125,236.42588333333333,235.69032592592586,234.52763333333334,252.579567175018,257.9983775,282.0584636363636,311.4570428571429
195267,Harlem,New York,NY,New York,New York,0,0,0,0,0,0,0,0,348.5262813432835,584.2109160112926,433.05735000000004,616.8759266753477,591.1185083333334,540.7451058750772,543.7100947008548,566.5230099999999,590.9302166457285,651.0763,703.32364,895.39715818794,888.8462253525973
343222,Williamsbridge,New York,NY,New York,Bronx,0,0,0,107.594936708861,105.050019191433,99.0675990675991,0,147.632575757576,188.72222748171365,202.51671575855352,238.57219514866978,244.63878,0,0,0,0,0,0,0,0,0
270828,East Harlem,New York,NY,New York,New York,0,0,0,0,0,0,0,0,0,371.060989643268,572.7751017639075,0,724.5939503251154,602.782071097373,0,0,0,761.71875,0,0,0
194379,East Flatbush,New York,NY,New York,Kings,0,106.76906513157896,92.7033492822967,0,118.5172259363775,126.1452,0,0,194.01116262626266,229.57304545454545,273.4073,297.4944911111112,0,0,0,0,0,0,312.5,444.584475,0
10957,Corona,New York,NY,New York,Queens,0,0,0,0,0,0,0,0,225.02739637551767,0,407.7295490785788,0,0,0,0,0,0,0,0,0,0
270945,Sunset Park,New York,NY,New York,Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,456.403269754768,489.17344306930704,0,0,0,0,0,0
193406,Borough Park,New York,NY,New York,Kings,0,0,0,0,0,0,0,0,331.278409090909,0,0,0,0,333.333333333333,0,0,0,0,0,0,0
403223,Elmhurst,New York,NY,New York,Queens,0,122.881355932203,121.483375959079,116.64421326370784,149.551345962114,0,0,0,275.11910651040483,345.46389999999997,388.39044736842106,0,411.177644710579,0,0,0,439.63281463281453,418.4798941616768,0,458.938953488372,0
193285,Bensonhurst,New York,NY,New York,Kings,0,0,0,0,0,0,0,0,326.7002680232557,359.7292408866996,0,0,0,407.245,395.6765811894884,384.2109375,386.100386100386,368.6361440464665,400.7025,459.2294337453647,0
270875,Lower East Side,New York,NY,New York,New York,0,0,0,0,0,0,0,0,0,0,885.8282741211993,1015.7557333333334,0,0,0,0,792.996910401648,1035.5313589531668,994.005994005994,0,0
193640,Canarsie,New York,NY,New York,Kings,128.29418769230762,128.42089009776,166.51429333411372,139.898714385965,165.23410131578947,161.2391,0,189.933523266857,257.24951553398057,314.92005454545455,346.19369166666667,410.127925,0,0,0,46.7836257309942,0,0,0,252.880921895006,0
18131,Flushing,New York,NY,New York,Queens,0,134.60932551036214,143.58396268861458,159.04575454545454,196.92883984962398,198.25206666666668,0,286.31204793128137,326.10236363636363,372.46345,409.2119636363636,414.1327454545454,401.1228610695483,419.2968174139051,444.74303636363635,452.0471999999999,433.30284800290497,471.40543636363634,549.6143666666666,546.1387952795934,596.7989333333334
